iter	Passed	Remaining
0	66	6535
1	75	3703
2	84	2735
3	95	2294
4	105	2003
5	114	1799
6	125	1662
7	134	1551
8	144	1461
9	153	1377
10	162	1313
11	172	1262
12	181	1213
13	190	1170
14	198	1127
15	209	1100
16	218	1067
17	227	1038
18	237	1012
19	246	985
20	256	963
21	264	938
22	274	917
23	283	896
24	291	875
25	300	856
26	309	837
27	319	822
28	328	804
29	342	798
30	359	800
31	371	790
32	381	774
33	398	772
34	413	767
35	434	771
36	451	769
37	465	758
38	478	749
39	492	738
40	503	724
41	512	708
42	524	694
43	535	681
44	544	665
45	554	651
46	562	634
47	574	622
48	609	634
49	623	623
50	636	611
51	652	602
52	662	587
53	674	574
54	685	560
55	695	546
56	706	533
57	716	518
58	725	504
59	740	493
60	749	479
61	758	464
62	767	450
63	776	436
64	799	430
65	809	417
66	818	403
67	827	389
68	837	376
69	846	362
70	854	349
71	865	336
72	882	326
73	892	313
74	901	300
75	911	287
76	920	274
77	929	262
78	938	249
79	948	237
80	958	224
81	967	212
82	977	200
83	988	188
84	998	176
85	1006	163
86	1015	151
87	1023	139
88	1032	127
89	1041	115
90	1050	103
91	1060	92
92	1068	80
93	1079	68
94	1095	57
95	1108	46
96	1120	34
97	1150	23
98	1167	11
99	1184	0
